id,kind,user_id,status,payload,result,error,attempts,available_at,locked_at,locked_by,created_at,updated_at
1,pillar_okr_sync,2,done,"{""run_id"": 1, ""user_id"": 2, ""pillar_key"": ""nutrition"", ""pillar_score"": 45.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""fruit_veg"": 40.0, ""hydration"": 50.0, ""processed_food"": 50.0, ""protein_intake"": 40.0}, ""pillar_result_id"": 1, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""nutrition"", ""objective_id"": 2, ""pillar_result_id"": 1}",,1,,,,2026-02-24 15:29:46.539882,2026-02-24 15:30:26.513988
2,pillar_okr_sync,2,done,"{""run_id"": 1, ""user_id"": 2, ""pillar_key"": ""training"", ""pillar_score"": 56.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""cardio_frequency"": 66.66666666666666, ""strength_training"": 50.0, ""flexibility_mobility"": 50.0}, ""pillar_result_id"": 2, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""training"", ""objective_id"": 1, ""pillar_result_id"": 2}",,1,,,,2026-02-24 15:29:54.309741,2026-02-24 15:30:26.183048
3,pillar_okr_sync,2,done,"{""run_id"": 1, ""user_id"": 2, ""pillar_key"": ""resilience"", ""pillar_score"": 29.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""stress_recovery"": 28.57142857142857, ""support_openness"": 28.57142857142857, ""positive_connection"": 28.57142857142857, ""emotional_regulation"": 28.57142857142857, ""optimism_perspective"": 28.57142857142857}, ""pillar_result_id"": 3, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""resilience"", ""objective_id"": 3, ""pillar_result_id"": 3}",,1,,,,2026-02-24 15:30:18.554882,2026-02-24 15:30:42.01894
4,pillar_okr_sync,2,done,"{""run_id"": 1, ""user_id"": 2, ""pillar_key"": ""recovery"", ""pillar_score"": 29.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""sleep_quality"": 28.57142857142857, ""sleep_duration"": 28.57142857142857, ""bedtime_consistency"": 28.57142857142857}, ""pillar_result_id"": 4, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""recovery"", ""objective_id"": 4, ""pillar_result_id"": 4}",,1,,,,2026-02-24 15:30:38.417401,2026-02-24 15:31:06.056245
5,assessment_week1_habit_seed,2,done,"{""run_id"": 1, ""user_id"": 2, ""week_no"": 1, ""require_seed"": true, ""assess_session_id"": 1}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=2"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 1, ""duplicate_found"": false, ""requeue_not_before"": ""2026-02-24T15:30:44.777670"", ""requeue_delay_seconds"": 5}",,1,,,,2026-02-24 15:30:38.525513,2026-02-24 15:30:40.699381
6,assessment_week1_habit_seed,2,done,"{""run_id"": 1, ""user_id"": 2, ""week_no"": 1, ""max_requeues"": 30, ""require_seed"": true, ""requeue_count"": 1, ""assess_session_id"": 1, ""last_requeue_reason"": ""pending_pillar_okr_sync=2""}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=1"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 2, ""duplicate_found"": false, ""requeue_not_before"": ""2026-02-24T15:30:53.098693"", ""requeue_delay_seconds"": 7}",,1,2026-02-24 15:30:44.77767,,,2026-02-24 15:30:40.671003,2026-02-24 15:30:46.135219
7,assessment_week1_habit_seed,2,done,"{""run_id"": 1, ""user_id"": 2, ""week_no"": 1, ""max_requeues"": 30, ""require_seed"": true, ""requeue_count"": 2, ""assess_session_id"": 1, ""last_requeue_reason"": ""pending_pillar_okr_sync=1""}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=1"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 3, ""duplicate_found"": false, ""requeue_not_before"": ""2026-02-24T15:31:03.235558"", ""requeue_delay_seconds"": 9}",,1,2026-02-24 15:30:53.098693,,,2026-02-24 15:30:46.112627,2026-02-24 15:30:54.277016
8,assessment_week1_habit_seed,2,done,"{""run_id"": 1, ""user_id"": 2, ""week_no"": 1, ""max_requeues"": 30, ""require_seed"": true, ""requeue_count"": 3, ""assess_session_id"": 1, ""last_requeue_reason"": ""pending_pillar_okr_sync=1""}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=1"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 4, ""duplicate_found"": false, ""requeue_not_before"": ""2026-02-24T15:31:15.391066"", ""requeue_delay_seconds"": 11}",,1,2026-02-24 15:31:03.235558,,,2026-02-24 15:30:54.248918,2026-02-24 15:31:04.427285
9,assessment_week1_habit_seed,2,done,"{""run_id"": 1, ""user_id"": 2, ""week_no"": 1, ""max_requeues"": 30, ""require_seed"": true, ""requeue_count"": 4, ""assess_session_id"": 1, ""last_requeue_reason"": ""pending_pillar_okr_sync=1""}","{""ok"": true, ""week_no"": 1, ""seeded_count"": 4}",,1,2026-02-24 15:31:15.391066,,,2026-02-24 15:31:04.403101,2026-02-24 15:31:53.10775
10,assessment_narratives_seed,2,done,"{""run_id"": 1, ""trigger"": ""psych_complete_main_path"", ""user_id"": 2}","{""ok"": true, ""core"": {""ok"": true, ""mode"": ""core"", ""run_id"": 1, ""user_id"": 2, ""duration_ms"": 39954, ""narratives_cached"": false, ""narratives_source"": ""llm""}, ""mode"": ""combined"", ""habit"": {""ok"": true, ""mode"": ""habit"", ""run_id"": 1, ""user_id"": 2, ""duration_ms"": 22465, ""narratives_cached"": true, ""narratives_source"": ""cached""}, ""run_id"": 1, ""user_id"": 2, ""duration_ms"": 62419}",,1,,,,2026-02-24 15:31:04.929482,2026-02-24 15:32:08.535751
