id,kind,user_id,status,payload,result,error,attempts,available_at,locked_at,locked_by,created_at,updated_at
1,pillar_okr_sync,3,done,"{""run_id"": 1, ""user_id"": 3, ""pillar_key"": ""nutrition"", ""pillar_score"": 58.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""fruit_veg"": 60.0, ""hydration"": 62.5, ""processed_food"": 50.0, ""protein_intake"": 60.0}, ""pillar_result_id"": 1, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""nutrition"", ""objective_id"": 2, ""pillar_result_id"": 1}",,1,,,,2026-02-24 11:41:35.044575,2026-02-24 11:42:03.701485
2,pillar_okr_sync,3,done,"{""run_id"": 1, ""user_id"": 3, ""pillar_key"": ""training"", ""pillar_score"": 75.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""cardio_frequency"": 100.0, ""strength_training"": 50.0, ""flexibility_mobility"": 75.0}, ""pillar_result_id"": 2, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""training"", ""objective_id"": 3, ""pillar_result_id"": 2}",,1,,,,2026-02-24 11:41:36.760661,2026-02-24 11:42:04.796114
3,pillar_okr_sync,3,done,"{""run_id"": 1, ""user_id"": 3, ""pillar_key"": ""resilience"", ""pillar_score"": 57.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""stress_recovery"": 57.14285714285714, ""support_openness"": 57.14285714285714, ""positive_connection"": 57.14285714285714, ""emotional_regulation"": 57.14285714285714, ""optimism_perspective"": 57.14285714285714}, ""pillar_result_id"": 3, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""resilience"", ""objective_id"": 4, ""pillar_result_id"": 3}",,1,,,,2026-02-24 11:41:39.105253,2026-02-24 11:42:05.193235
4,pillar_okr_sync,3,done,"{""run_id"": 1, ""user_id"": 3, ""pillar_key"": ""recovery"", ""pillar_score"": 57.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""sleep_quality"": 57.14285714285714, ""sleep_duration"": 57.14285714285714, ""bedtime_consistency"": 57.14285714285714}, ""pillar_result_id"": 4, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""recovery"", ""objective_id"": 1, ""pillar_result_id"": 4}",,1,,,,2026-02-24 11:41:40.55957,2026-02-24 11:42:02.056671
5,assessment_week1_habit_seed,3,done,"{""run_id"": 1, ""user_id"": 3, ""week_no"": 1, ""require_seed"": true, ""assess_session_id"": 1}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=4"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 1, ""duplicate_found"": false, ""requeue_not_before"": ""2026-02-24T11:41:46.686331"", ""requeue_delay_seconds"": 5}",,1,,,,2026-02-24 11:41:40.639147,2026-02-24 11:41:42.059572
6,assessment_narratives_seed,3,done,"{""run_id"": 1, ""user_id"": 3}","{""ok"": true, ""run_id"": 1, ""user_id"": 3, ""duration_ms"": 54554, ""narratives_cached"": false, ""narratives_source"": ""llm""}",,1,,,,2026-02-24 11:41:40.730507,2026-02-24 11:42:36.615226
7,assessment_week1_habit_seed,3,done,"{""run_id"": 1, ""user_id"": 3, ""week_no"": 1, ""max_requeues"": 30, ""require_seed"": true, ""requeue_count"": 1, ""assess_session_id"": 1, ""last_requeue_reason"": ""pending_pillar_okr_sync=4""}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=4"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 2, ""duplicate_found"": false, ""requeue_not_before"": ""2026-02-24T11:41:55.124472"", ""requeue_delay_seconds"": 7}",,1,2026-02-24 11:41:46.686331,,,2026-02-24 11:41:42.032999,2026-02-24 11:41:48.165967
8,assessment_week1_habit_seed,3,done,"{""run_id"": 1, ""user_id"": 3, ""week_no"": 1, ""max_requeues"": 30, ""require_seed"": true, ""requeue_count"": 2, ""assess_session_id"": 1, ""last_requeue_reason"": ""pending_pillar_okr_sync=4""}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=3"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 3, ""duplicate_found"": false, ""requeue_not_before"": ""2026-02-24T11:42:11.103551"", ""requeue_delay_seconds"": 9}",,1,2026-02-24 11:41:55.124472,,,2026-02-24 11:41:48.140485,2026-02-24 11:42:02.146725
9,pillar_okr_sync,4,done,"{""run_id"": 2, ""user_id"": 4, ""pillar_key"": ""nutrition"", ""pillar_score"": 58.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""fruit_veg"": 60.0, ""hydration"": 62.5, ""processed_food"": 50.0, ""protein_intake"": 60.0}, ""pillar_result_id"": 5, ""assess_session_id"": 2, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""nutrition"", ""objective_id"": 6, ""pillar_result_id"": 5}",,1,,,,2026-02-24 11:41:48.763228,2026-02-24 11:42:22.05021
10,pillar_okr_sync,4,done,"{""run_id"": 2, ""user_id"": 4, ""pillar_key"": ""training"", ""pillar_score"": 75.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""cardio_frequency"": 100.0, ""strength_training"": 50.0, ""flexibility_mobility"": 75.0}, ""pillar_result_id"": 6, ""assess_session_id"": 2, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""training"", ""objective_id"": 5, ""pillar_result_id"": 6}",,1,,,,2026-02-24 11:41:50.491927,2026-02-24 11:42:21.45047
11,pillar_okr_sync,4,done,"{""run_id"": 2, ""user_id"": 4, ""pillar_key"": ""resilience"", ""pillar_score"": 57.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""stress_recovery"": 57.14285714285714, ""support_openness"": 57.14285714285714, ""positive_connection"": 57.14285714285714, ""emotional_regulation"": 57.14285714285714, ""optimism_perspective"": 57.14285714285714}, ""pillar_result_id"": 7, ""assess_session_id"": 2, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""resilience"", ""objective_id"": 7, ""pillar_result_id"": 7}",,1,,,,2026-02-24 11:41:52.854737,2026-02-24 11:42:24.912128
