id,job_name,status,payload,error,created_at
1,twilio_status,ok,"{""to"": ""whatsapp:+447860362908"", ""sid"": ""SMaef5e4f5073c3d555c73c2358ceb2724"", ""from"": ""whatsapp:+447360543844"", ""status"": ""delivered"", ""user_id"": 2, ""error_code"": null, ""error_message"": null, ""message_log_id"": 2, ""error_description"": null}",,2026-02-24 15:28:23.242623
2,twilio_status,ok,"{""to"": ""whatsapp:+447860362908"", ""sid"": ""SMaef5e4f5073c3d555c73c2358ceb2724"", ""from"": ""whatsapp:+447360543844"", ""status"": ""sent"", ""user_id"": 2, ""error_code"": null, ""error_message"": null, ""message_log_id"": 2, ""error_description"": null}",,2026-02-24 15:28:23.645312
3,twilio_status,ok,"{""to"": ""whatsapp:+447860362908"", ""sid"": ""SMd3f59af74c6a8c9eccb2f13239d432ae"", ""from"": ""whatsapp:+447360543844"", ""status"": ""delivered"", ""user_id"": 2, ""error_code"": null, ""error_message"": null, ""message_log_id"": 3, ""error_description"": null}",,2026-02-24 15:28:23.765097
4,twilio_status,ok,"{""to"": ""whatsapp:+447860362908"", ""sid"": ""SMd3f59af74c6a8c9eccb2f13239d432ae"", ""from"": ""whatsapp:+447360543844"", ""status"": ""sent"", ""user_id"": 2, ""error_code"": null, ""error_message"": null, ""message_log_id"": 3, ""error_description"": null}",,2026-02-24 15:28:23.789533
5,assessor_meta,ok,"{""action"": ""ask"", ""pillar"": ""nutrition"", ""concept"": ""fruit_veg"", ""confidence"": null}",,2026-02-24 15:29:31.742784
6,twilio_status,ok,"{""to"": ""whatsapp:+447860362908"", ""sid"": ""SMd7921abe70eae5caf2ae7222f18e59bd"", ""from"": ""whatsapp:+447360543844"", ""status"": ""sent"", ""user_id"": 2, ""error_code"": null, ""error_message"": null, ""message_log_id"": 5, ""error_description"": null}",,2026-02-24 15:29:32.950011
7,twilio_status,ok,"{""to"": ""whatsapp:+447860362908"", ""sid"": ""SMd7921abe70eae5caf2ae7222f18e59bd"", ""from"": ""whatsapp:+447360543844"", ""status"": ""delivered"", ""user_id"": 2, ""error_code"": null, ""error_message"": null, ""message_log_id"": 5, ""error_description"": null}",,2026-02-24 15:29:33.404529
8,twilio_status,ok,"{""to"": ""whatsapp:+447860362908"", ""sid"": ""SMc3eedccbc4d8a30d2eb099291daf74f6"", ""from"": ""whatsapp:+447360543844"", ""status"": ""delivered"", ""user_id"": 2, ""error_code"": null, ""error_message"": null, ""message_log_id"": 6, ""error_description"": null}",,2026-02-24 15:29:34.112541
9,twilio_status,ok,"{""to"": ""whatsapp:+447860362908"", ""sid"": ""SMc3eedccbc4d8a30d2eb099291daf74f6"", ""from"": ""whatsapp:+447360543844"", ""status"": ""sent"", ""user_id"": 2, ""error_code"": null, ""error_message"": null, ""message_log_id"": 6, ""error_description"": null}",,2026-02-24 15:29:34.711337
10,assessor_meta,ok,"{""action"": ""answer"", ""pillar"": ""nutrition"", ""concept"": ""fruit_veg"", ""confidence"": null}",,2026-02-24 15:29:36.533686
11,assessor_payload,ok,"{""pillar"": ""nutrition"", ""concept"": ""fruit_veg"", ""payload"": {""history"": [], ""retrieval"": [{""id"": 3, ""text"": ""≥5 portions/day; mix colours for fibre and micronutrients."", ""type"": ""snippet"", ""score"": 0.03179401328774153, ""title"": ""Target & variety"", ""locale"": ""en-GB""}, {""id"": 4, ""text"": ""Front-load fruit/veg into the first two meals; batch-cook to stay consistent."", ""type"": ""snippet"", ""score"": 0.02766131133018047, ""title"": ""Make it easy"", ""locale"": ""en-GB""}], ""turns_so_far"": 1, ""already_asked"": [""In the last 7 days, how many portions of fruit and vegetables did you *eat on average per day*? For reference: 1 portion = 1 apple or banana, 1 fist-sized serving of vegetables, or 1 handful of salad or berries.""], ""concept_focus"": ""fruit_veg"", ""last_user_reply"": ""2"", ""last_main_question"": ""In the last 7 days, how many portions of fruit and vegetables did you *eat on average per day*? For reference: 1 portion = 1 apple or banana, 1 fist-sized serving of vegetables, or 1 handful of salad or berries."", ""sufficient_for_scoring"": true}}",,2026-02-24 15:29:36.561141
12,assessor_fast_path_hit,ok,"{""score"": 40, ""value"": 2.0, ""pillar"": ""nutrition"", ""source"": ""parsed_number"", ""concept"": ""fruit_veg"", ""normalized_value"": 2.0}",,2026-02-24 15:29:36.585899
13,assessor_llm_meta,ok,"{""why"": ""Parsed answer and timeframe were sufficient for deterministic scoring."", ""pillar"": ""nutrition"", ""status"": ""scorable"", ""concept"": ""fruit_veg"", ""missing"": [], ""parsed_value"": {""unit"": """", ""value"": 2.0, ""timeframe_ok"": true}}",,2026-02-24 15:29:36.596971
14,assessor_meta,ok,"{""action"": ""ask"", ""pillar"": ""nutrition"", ""concept"": ""hydration"", ""confidence"": 0.88}",,2026-02-24 15:29:37.00326
15,twilio_status,ok,"{""to"": ""whatsapp:+447860362908"", ""sid"": ""SM5075f326d6d7f34018164ffb92d248d6"", ""from"": ""whatsapp:+447360543844"", ""status"": ""sent"", ""user_id"": 2, ""error_code"": null, ""error_message"": null, ""message_log_id"": 8, ""error_description"": null}",,2026-02-24 15:29:39.034737
