id,job_name,status,payload,error,created_at
1,twilio_status,ok,"{""to"": ""whatsapp:+447448180196"", ""sid"": ""SM34792cd491d95fb81d66591b46c886d1"", ""from"": ""whatsapp:+447360543844"", ""status"": ""sent"", ""user_id"": 1, ""error_code"": null, ""error_message"": null}",,2026-02-20 15:47:30.812531
2,twilio_status,ok,"{""to"": ""whatsapp:+447448180196"", ""sid"": ""SM34792cd491d95fb81d66591b46c886d1"", ""from"": ""whatsapp:+447360543844"", ""status"": ""delivered"", ""user_id"": 1, ""error_code"": null, ""error_message"": null}",,2026-02-20 15:47:31.152382
3,twilio_status,ok,"{""to"": ""whatsapp:+447448180196"", ""sid"": ""SM34792cd491d95fb81d66591b46c886d1"", ""from"": ""whatsapp:+447360543844"", ""status"": ""read"", ""user_id"": 1, ""error_code"": null, ""error_message"": null}",,2026-02-20 15:47:32.143069
4,assessor_meta,ok,"{""action"": ""ask"", ""pillar"": ""nutrition"", ""concept"": ""fruit_veg"", ""confidence"": null}",,2026-02-20 15:48:20.101987
5,assessor_meta,ok,"{""action"": ""answer"", ""pillar"": ""nutrition"", ""concept"": ""fruit_veg"", ""confidence"": null}",,2026-02-20 15:48:21.036703
6,assessor_payload,ok,"{""pillar"": ""nutrition"", ""concept"": ""fruit_veg"", ""payload"": {""history"": [], ""retrieval"": [{""id"": 4, ""text"": ""Front-load fruit/veg into the first two meals; batch-cook to stay consistent."", ""type"": ""snippet"", ""score"": 0.023995001971521098, ""title"": ""Make it easy"", ""locale"": ""en-GB""}, {""id"": 3, ""text"": ""≥5 portions/day; mix colours for fibre and micronutrients."", ""type"": ""snippet"", ""score"": -0.002557273547754683, ""title"": ""Target & variety"", ""locale"": ""en-GB""}], ""turns_so_far"": 1, ""already_asked"": [""In the last 7 days, how many portions of fruit and vegetables did you *eat on average per day*? For reference: 1 portion = 1 apple or banana, 1 fist-sized serving of vegetables, or 1 handful of salad or berries.""], ""concept_focus"": ""fruit_veg"", ""last_user_reply"": ""3"", ""last_main_question"": ""In the last 7 days, how many portions of fruit and vegetables did you *eat on average per day*? For reference: 1 portion = 1 apple or banana, 1 fist-sized serving of vegetables, or 1 handful of salad or berries."", ""sufficient_for_scoring"": true}}",,2026-02-20 15:48:21.066811
7,assessor_llm_request,ok,"{""pillar"": ""nutrition"", ""concept"": ""fruit_veg"", ""user_len"": 2896, ""system_len"": 3257, ""range_bounds"": [0, 5], ""has_range_guide"": true, ""sufficient_for_scoring"": true}",,2026-02-20 15:48:21.092151
8,assessor_llm_response,ok,"{""type"": ""AIMessage"", ""pillar"": ""nutrition"", ""concept"": ""fruit_veg"", ""preview"": ""{\""action\"":\""finish\"",\""question\"":\""\"",\""level\"":\""Moderate\"",\""confidence\"":0.9,\""rationale\"":\""User reported a numeric value (3 portions/day) for the specified 7‑day average. Target is ≥5 portions/day; mapping linearly 0→0, 5→100 giv…"", ""content_len"": 442, ""duration_ms"": 9077, ""has_content"": true}",,2026-02-20 15:48:30.465969
9,assessor_llm_meta,ok,"{""why"": ""Numeric answer with explicit timeframe provided, so can be scored directly."", ""pillar"": ""nutrition"", ""status"": ""scorable"", ""concept"": ""fruit_veg"", ""missing"": [], ""parsed_value"": {""unit"": ""portions/day"", ""value"": 3, ""timeframe_ok"": true}}",,2026-02-20 15:48:30.476901
10,assessor_meta,ok,"{""action"": ""ask"", ""pillar"": ""nutrition"", ""concept"": ""hydration"", ""confidence"": 0.9}",,2026-02-20 15:48:30.571094
