id,user_id,source,campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,fbclid,gclid,msclkid,ttclid,meta_campaign_id,meta_adset_id,meta_ad_id,meta_creative_id,placement,lead_key_used,landing_path,referrer_url,client_ip,user_agent,raw_meta,assessment_started_at,identity_claimed_at,results_viewed_at,created_at,updated_at,club_id,landing_viewed_at
338,,instagram,assessment_launch,instagram,paid_social,assessment_launch,,,,,,,,,,,,true,/ig/start?source=instagram&utm_source=instagram&utm_medium=paid_social&utm_campaign=assessment_launch&campaign=assessment_launch,,86.159.16.203,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1","{""utm"": {""utm_medium"": ""paid_social"", ""utm_source"": ""instagram"", ""utm_campaign"": ""assessment_launch""}, ""meta"": {}}",2026-03-10 20:29:26.966689,,,2026-03-10 20:29:26.292224,2026-03-10 20:29:26.966689,,2026-03-10 20:29:26.292224
339,,instagram,assessment_launch,instagram,paid_social,assessment_launch,,,,,,,,,,,,true,/ig/start?source=instagram&utm_source=instagram&utm_medium=paid_social&utm_campaign=assessment_launch&campaign=assessment_launch,,31.94.66.127,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36","{""utm"": {""utm_medium"": ""paid_social"", ""utm_source"": ""instagram"", ""utm_campaign"": ""assessment_launch""}, ""meta"": {}}",2026-03-10 20:35:36.042768,,,2026-03-10 20:35:35.622336,2026-03-10 20:35:36.042768,,2026-03-10 20:35:35.622336
340,,instagram,assessment_launch,instagram,paid_social,assessment_launch,,,,,,,,,,,,true,/ig/start?source=instagram&utm_source=instagram&utm_medium=paid_social&utm_campaign=assessment_launch&campaign=assessment_launch,,31.94.66.127,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36","{""utm"": {""utm_medium"": ""paid_social"", ""utm_source"": ""instagram"", ""utm_campaign"": ""assessment_launch""}, ""meta"": {}}",2026-03-10 20:37:30.664472,,,2026-03-10 20:37:30.176992,2026-03-10 20:37:30.664472,,2026-03-10 20:37:30.176992
341,,instagram,assessment_launch,instagram,paid_social,assessment_launch,120238321957250765,120238324328080765,PAZXh0bgNhZW0BMABhZGlkAassk6Jy2l1zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafUhNEa9DuK6J1CZ39YlIKDgN6aYD3zqvZm67c42cU4YwXVFcI2nlgCzwR1ng_aem_gxpepnkyBbBx3NjcIpr4kg,,,,,,,,,true,/ig/start?source=instagram&utm_source=instagram&utm_medium=paid_social&utm_campaign=assessment_launch&campaign=assessment_launch&utm_id=120238321957240765&utm_content=120238324328080765&utm_term=120238321957250765&fbclid=PAZXh0bgNhZW0BMABhZGlkAassk6Jy2l1zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafUhNEa9DuK6J1CZ39YlIKDgN6aYD3zqvZm67c42cU4YwXVFcI2nlgCzwR1ng_aem_gxpepnkyBbBx3NjcIpr4kg,,5.67.94.22,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22H311 Instagram 410.1.0.36.70 (iPhone11,2; iOS 18_7_5; en_GB; en-GB; scale=3.00; 1125x2436; IABMV/1; 849447290) NW/8 Safari/604.1","{""utm"": {""utm_term"": ""120238321957250765"", ""utm_medium"": ""paid_social"", ""utm_source"": ""instagram"", ""utm_content"": ""120238324328080765"", ""utm_campaign"": ""assessment_launch""}, ""meta"": {""fbclid"": ""PAZXh0bgNhZW0BMABhZGlkAassk6Jy2l1zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafUhNEa9DuK6J1CZ39YlIKDgN6aYD3zqvZm67c42cU4YwXVFcI2nlgCzwR1ng_aem_gxpepnkyBbBx3NjcIpr4kg""}}",,,,2026-03-11 12:51:24.695749,2026-03-11 12:51:24.695749,1,2026-03-11 12:51:24.695749
342,,instagram,assessment_launch,instagram,paid_social,assessment_launch,,,,,,,,,,,,true,/ig/start?source=instagram&utm_source=instagram&utm_medium=paid_social&utm_campaign=assessment_launch&campaign=assessment_launch,,31.94.66.127,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","{""utm"": {""utm_medium"": ""paid_social"", ""utm_source"": ""instagram"", ""utm_campaign"": ""assessment_launch""}}",,,,2026-03-11 12:51:33.307059,2026-03-11 12:51:33.307059,1,2026-03-11 12:51:33.307059
343,,instagram,assessment_launch,instagram,paid_social,assessment_launch,,,fbclid,,,,,,,,,true,/ig/start?source=instagram&utm_source=instagram&utm_medium=paid_social&utm_campaign=assessment_launch&campaign=assessment_launch&fbclid=fbclid,https://adsmanager.facebook.com/,31.94.66.127,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","{""utm"": {""utm_medium"": ""paid_social"", ""utm_source"": ""instagram"", ""utm_campaign"": ""assessment_launch""}, ""meta"": {""fbclid"": ""fbclid""}}",2026-03-11 13:51:21.219268,,,2026-03-11 12:54:59.766165,2026-03-11 13:51:21.219268,1,2026-03-11 12:54:59.766165
344,,instagram,assessment_launch,instagram,paid_social,assessment_launch,120238321957250765,120238324328080765,PAZXh0bgNhZW0BMABhZGlkAassk6Jy2l1zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafiuwixewLIsJmfUIFK1Y6qJO_tPzmp93q_pViMkLrDcXNEkkXsyeVLzPc8nQ_aem_ZXBMuY5Oj0FEj14d45y-vQ,,,,,,,,,true,/ig/start?source=instagram&utm_source=instagram&utm_medium=paid_social&utm_campaign=assessment_launch&campaign=assessment_launch&utm_id=120238321957240765&utm_content=120238324328080765&utm_term=120238321957250765&fbclid=PAZXh0bgNhZW0BMABhZGlkAassk6Jy2l1zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafiuwixewLIsJmfUIFK1Y6qJO_tPzmp93q_pViMkLrDcXNEkkXsyeVLzPc8nQ_aem_ZXBMuY5Oj0FEj14d45y-vQ,,157.231.105.90,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C71 Instagram 419.0.0.27.74 (iPhone17,3; iOS 26_2_1; en_GB; en-GB; scale=3.00; 1179x2556; IABMV/1; 895010607) NW/9 Safari/604.1","{""utm"": {""utm_term"": ""120238321957250765"", ""utm_medium"": ""paid_social"", ""utm_source"": ""instagram"", ""utm_content"": ""120238324328080765"", ""utm_campaign"": ""assessment_launch""}, ""meta"": {""fbclid"": ""PAZXh0bgNhZW0BMABhZGlkAassk6Jy2l1zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafiuwixewLIsJmfUIFK1Y6qJO_tPzmp93q_pViMkLrDcXNEkkXsyeVLzPc8nQ_aem_ZXBMuY5Oj0FEj14d45y-vQ""}}",,,,2026-03-11 13:06:27.165832,2026-03-11 13:06:27.165832,1,2026-03-11 13:06:27.165832
345,,instagram,assessment_launch,instagram,paid_social,assessment_launch,,,,,,,,,,,,true,/ig/start?source=instagram&utm_source=instagram&utm_medium=paid_social&utm_campaign=assessment_launch&campaign=assessment_launch,,173.252.82.11,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),"{""utm"": {""utm_medium"": ""paid_social"", ""utm_source"": ""instagram"", ""utm_campaign"": ""assessment_launch""}}",,,,2026-03-11 13:06:41.907069,2026-03-11 13:06:41.907069,1,2026-03-11 13:06:41.907069
346,,instagram,assessment_launch,instagram,paid_social,assessment_launch,120238321957250765,120238324328080765,PAZXh0bgNhZW0BMABhZGlkAassk6Jy2l1zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacHiyKthA_-rhshYESIU6g-u5VKlY7A_sUHkX9jxWdJyxUfi3eo3NMtqis1AA_aem_XvJ2-WtkHV3RQioa60HfAA,,,,,,,,,true,/ig/start?source=instagram&utm_source=instagram&utm_medium=paid_social&utm_campaign=assessment_launch&campaign=assessment_launch&utm_id=120238321957240765&utm_content=120238324328080765&utm_term=120238321957250765&fbclid=PAZXh0bgNhZW0BMABhZGlkAassk6Jy2l1zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacHiyKthA_-rhshYESIU6g-u5VKlY7A_sUHkX9jxWdJyxUfi3eo3NMtqis1AA_aem_XvJ2-WtkHV3RQioa60HfAA,,176.25.76.70,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D8133 Instagram 419.0.0.27.74 (iPhone14,2; iOS 26_3_1; en_GB; en-GB; scale=3.00; 1170x2532; IABMV/1; 895010607) Safari/604.1","{""utm"": {""utm_term"": ""120238321957250765"", ""utm_medium"": ""paid_social"", ""utm_source"": ""instagram"", ""utm_content"": ""120238324328080765"", ""utm_campaign"": ""assessment_launch""}, ""meta"": {""fbclid"": ""PAZXh0bgNhZW0BMABhZGlkAassk6Jy2l1zcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacHiyKthA_-rhshYESIU6g-u5VKlY7A_sUHkX9jxWdJyxUfi3eo3NMtqis1AA_aem_XvJ2-WtkHV3RQioa60HfAA""}}",,,,2026-03-11 13:33:30.313297,2026-03-11 13:33:30.313297,1,2026-03-11 13:33:30.313297
347,,instagram,assessment_launch,instagram,paid_social,assessment_launch,,,,,,,,,,,,true,/ig/start?source=instagram&utm_source=instagram&utm_medium=paid_social&utm_campaign=assessment_launch&campaign=assessment_launch,,69.171.249.112,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),"{""utm"": {""utm_medium"": ""paid_social"", ""utm_source"": ""instagram"", ""utm_campaign"": ""assessment_launch""}}",,,,2026-03-11 13:33:48.683294,2026-03-11 13:33:48.683294,1,2026-03-11 13:33:48.683294
