id,objective_id,kr_key,description,metric_label,unit,baseline_num,target_num,target_text,actual_num,score,weight,status,notes,created_at,updated_at
10,4,fruit_veg_portions,Increase fruit & vegetable portions from 2 portions/day to 3 portions/day.,fruit & vegetable portions,portions/day,2,3,,2,40,1,active,"{""concept_key"": ""fruit_veg""}",2026-02-23 12:40:27.720716,2026-02-23 12:40:27.720722
11,4,daily_hydration_l,Increase daily hydration from 2 L/day to 2.5 L/day.,daily hydration,L/day,2,2.5,,2,50,1,active,"{""concept_key"": ""hydration""}",2026-02-23 12:40:27.732964,2026-02-23 12:40:27.732969
12,4,processed_food_portions,Reduce processed food intake from 2 portions/day to 1 portions/day.,processed food intake,portions/day,2,1,,2,50,1,active,"{""concept_key"": ""processed_food""}",2026-02-23 12:40:27.747706,2026-02-23 12:40:27.74771
13,4,protein_portions,Increase protein intake from 2 portions/day to 3 portions/day.,protein intake,portions/day,2,3,,2,40,1,active,"{""concept_key"": ""protein_intake""}",2026-02-23 12:40:27.759039,2026-02-23 12:40:27.759043
14,5,strength_sessions,Increase strength sessions from 2 sessions/week to 3 sessions/week.,strength sessions,sessions/week,2,3,,2,50,1,active,"{""concept_key"": ""strength_training""}",2026-02-23 12:41:44.970894,2026-02-23 12:41:44.970898
15,5,mobility_sessions,Increase mobility/flexibility work from 2 sessions/week to 3 sessions/week.,mobility/flexibility work,sessions/week,2,3,,2,50,1,active,"{""concept_key"": ""flexibility_mobility""}",2026-02-23 12:41:44.981785,2026-02-23 12:41:44.981788
16,6,emotional_regulation,Increase emotional regulation practice from 2 days/week to 4 days/week.,emotional regulation practice,days/week,2,4,,2,28.57142857142857,1,active,"{""concept_key"": ""emotional_regulation""}",2026-02-23 12:42:09.061255,2026-02-23 12:42:09.061259
17,6,stress_recovery,Increase stress-recovery techniques from 2 days/week to 4 days/week.,stress-recovery techniques,days/week,2,4,,2,28.57142857142857,1,active,"{""concept_key"": ""stress_recovery""}",2026-02-23 12:42:09.073015,2026-02-23 12:42:09.073021
18,6,positive_connection,Increase positive connection actions from 2 days/week to 3 days/week.,positive connection actions,days/week,2,3,,2,28.57142857142857,1,active,"{""concept_key"": ""positive_connection""}",2026-02-23 12:42:09.084268,2026-02-23 12:42:09.084272
19,7,bedtime_consistency,Increase consistent bedtimes from 2 nights/week to 4 nights/week.,nights/week,nights/week,2,4,,2,28.57142857142857,1,active,"{""concept_key"": ""bedtime_consistency""}",2026-02-23 12:42:45.778783,2026-02-23 12:42:45.778789
20,7,sleep_duration,Increase nights with 7+ hours sleep from 2 nights/week to 4 nights/week.,nights/week,nights/week,2,4,,2,28.57142857142857,1,active,"{""concept_key"": ""sleep_duration""}",2026-02-23 12:42:45.791423,2026-02-23 12:42:45.791428
21,7,sleep_quality,Increase nights waking refreshed from 2 nights/week to 4 nights/week.,nights/week,nights/week,2,4,,2,28.57142857142857,1,active,"{""concept_key"": ""sleep_quality""}",2026-02-23 12:42:45.803676,2026-02-23 12:42:45.803681
24,8,increase_strength_sessions,Increase strength sessions from 2 sessions/week to 3 sessions/week.,strength sessions/week,sessions/week,2,3,,2,,1,active,"{""concept_key"": ""strength_training""}",2026-02-23 13:59:59.023413,2026-02-23 13:59:59.023418
25,8,increase_mobility_sessions,Increase mobility/flexibility work from 3 sessions/week to 4 sessions/week.,mobility sessions/week,sessions/week,3,4,,3,,1,active,"{""concept_key"": ""flexibility_mobility""}",2026-02-23 13:59:59.036555,2026-02-23 13:59:59.036559
26,2,emotional_regulation_practice,Increase emotional regulation practice from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""emotional_regulation""}",2026-02-23 14:00:21.830854,2026-02-23 14:00:21.830861
27,2,stress_recovery_break,Increase stress-recovery techniques from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""stress_recovery""}",2026-02-23 14:00:21.844867,2026-02-23 14:00:21.844872
28,2,positive_connection_actions,Increase positive connection actions from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""positive_connection""}",2026-02-23 14:00:21.859231,2026-02-23 14:00:21.859236
29,1,fruit_veg_portions,Increase fruit & vegetable portions from 3 portions/day to 4 portions/day.,fruit & vegetable portions,portions/day,3,4,,3,60,1,active,"{""concept_key"": ""fruit_veg""}",2026-02-23 14:00:27.68707,2026-02-23 14:00:27.687076
30,1,daily_hydration,Increase daily hydration from 2.5 L/day to 3 L/day.,daily hydration,L/day,2.5,3,,2.5,62.5,1,active,"{""concept_key"": ""hydration""}",2026-02-23 14:00:27.699954,2026-02-23 14:00:27.699959
31,1,reduce_processed_food,Reduce processed food intake from 2 portions/day to 1 portions/day.,processed food intake,portions/day,2,1,,2,50,1,active,"{""concept_key"": ""processed_food""}",2026-02-23 14:00:27.714642,2026-02-23 14:00:27.714647
32,3,bedtime_consistency,Increase consistent bedtimes from 4 nights/week to 6 nights/week.,consistent bedtimes,nights/week,4,6,,4,57.14285714285714,1,active,"{""concept_key"": ""bedtime_consistency""}",2026-02-23 14:00:49.607805,2026-02-23 14:00:49.607811
33,3,sleep_duration_nights,Increase nights with 7+ hours sleep from 4 nights/week to 5 nights/week.,nights with 7+ hours sleep,nights/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""sleep_duration""}",2026-02-23 14:00:49.622618,2026-02-23 14:00:49.622625
34,3,nights_waking_refreshed,Increase nights waking refreshed from 4 nights/week to 5 nights/week.,nights waking refreshed,nights/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""sleep_quality""}",2026-02-23 14:00:49.63562,2026-02-23 14:00:49.635626
35,9,fruit_veg_portions,Increase fruit & vegetable portions from 3 portions/day to 4 portions/day.,fruit & vegetable portions,portions/day,3,4,,3,60,1,active,"{""concept_key"": ""fruit_veg""}",2026-02-23 14:02:30.569318,2026-02-23 14:02:30.569324
36,9,daily_hydration,Increase daily hydration from 2.5 L/day to 3 L/day.,daily hydration,L/day,2.5,3,,2.5,62.5,1,active,"{""concept_key"": ""hydration""}",2026-02-23 14:02:30.583595,2026-02-23 14:02:30.583602
37,9,limit_processed_food,Reduce processed food intake from 2 portions/day to 1 portions/day.,processed food intake,portions/day,2,1,,2,50,1,active,"{""concept_key"": ""processed_food""}",2026-02-23 14:02:30.597341,2026-02-23 14:02:30.597346
38,9,protein_portions,Increase protein intake from 3 portions/day to 4 portions/day.,protein intake,portions/day,3,4,,3,60,1,active,"{""concept_key"": ""protein_intake""}",2026-02-23 14:02:30.61033,2026-02-23 14:02:30.610334
39,10,strength_sessions_week,Increase strength sessions from 2 sessions/week to 3 sessions/week.,strength sessions,sessions/week,2,3,,2,50,1,active,"{""concept_key"": ""strength_training""}",2026-02-23 14:02:45.480004,2026-02-23 14:02:45.480008
40,10,mobility_sessions_week,Increase mobility/flexibility work from 3 sessions/week to 4 sessions/week.,mobility/flexibility work,sessions/week,3,4,,3,75,1,active,"{""concept_key"": ""flexibility_mobility""}",2026-02-23 14:02:45.490282,2026-02-23 14:02:45.490286
41,11,emotional_regulation_practice,Increase emotional regulation practice from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""emotional_regulation""}",2026-02-23 14:02:58.448555,2026-02-23 14:02:58.448562
42,11,stress_recovery_techniques,Increase stress-recovery techniques from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""stress_recovery""}",2026-02-23 14:02:58.461452,2026-02-23 14:02:58.461456
43,11,support_openness_actions,Increase support/openness actions from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""support_openness""}",2026-02-23 14:02:58.475114,2026-02-23 14:02:58.47512
44,12,bedtime_consistency,Increase consistent bedtimes from 4 nights/week to 5 nights/week.,nights/week,nights/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""bedtime_consistency""}",2026-02-23 14:03:14.453177,2026-02-23 14:03:14.453182
45,12,sleep_duration,Increase nights with 7+ hours sleep from 4 nights/week to 5 nights/week.,nights/week,nights/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""sleep_duration""}",2026-02-23 14:03:14.471242,2026-02-23 14:03:14.471247
46,12,sleep_quality,Increase nights waking refreshed from 4 nights/week to 5 nights/week.,nights/week,nights/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""sleep_quality""}",2026-02-23 14:03:14.522134,2026-02-23 14:03:14.522164
47,13,fruit_veg_portions,Increase fruit & vegetable portions from 3 portions/day to 4 portions/day.,fruit & vegetable portions,portions/day,3,4,,3,60,1,active,"{""concept_key"": ""fruit_veg""}",2026-02-23 14:04:17.898691,2026-02-23 14:04:17.898712
48,13,daily_hydration,Increase daily hydration from 2.5 L/day to 3 L/day.,daily hydration,L/day,2.5,3,,2.5,62.5,1,active,"{""concept_key"": ""hydration""}",2026-02-23 14:04:17.916455,2026-02-23 14:04:17.916461
49,13,processed_food_portions,Reduce processed food intake from 2 portions/day to 1 portions/day.,processed food intake,portions/day,2,1,,2,50,1,active,"{""concept_key"": ""processed_food""}",2026-02-23 14:04:17.93182,2026-02-23 14:04:17.931826
