id,objective_id,kr_key,description,metric_label,unit,baseline_num,target_num,target_text,actual_num,score,weight,status,notes,created_at,updated_at
1,1,bedtime_consistency,Increase consistent bedtimes from 4 nights/week to 6 nights/week.,nights/week,nights/week,4,6,,4,57.14285714285714,1,active,"{""concept_key"": ""bedtime_consistency""}",2026-02-24 10:06:48.714481,2026-02-24 10:06:48.714485
2,1,sleep_duration,Increase nights with 7+ hours sleep from 4 nights/week to 5 nights/week.,nights/week,nights/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""sleep_duration""}",2026-02-24 10:06:48.725853,2026-02-24 10:06:48.725856
3,1,sleep_quality,Increase nights waking refreshed from 4 nights/week to 5 nights/week.,nights/week,nights/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""sleep_quality""}",2026-02-24 10:06:48.736526,2026-02-24 10:06:48.736529
4,2,strength_sessions_weekly,Increase strength sessions from 2 sessions/week to 3 sessions/week.,strength sessions,sessions/week,2,3,,2,50,1,active,"{""concept_key"": ""strength_training""}",2026-02-24 10:06:49.579683,2026-02-24 10:06:49.57969
5,2,mobility_sessions_weekly,Increase mobility/flexibility work from 3 sessions/week to 4 sessions/week.,mobility/flexibility work,sessions/week,3,4,,3,75,1,active,"{""concept_key"": ""flexibility_mobility""}",2026-02-24 10:06:49.592604,2026-02-24 10:06:49.592608
6,3,emotional_regulation,Increase emotional regulation practice from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""emotional_regulation""}",2026-02-24 10:06:52.467637,2026-02-24 10:06:52.467643
7,3,stress_recovery,Increase stress-recovery techniques from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""stress_recovery""}",2026-02-24 10:06:52.48007,2026-02-24 10:06:52.480076
8,3,positive_connection,Increase positive connection actions from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""positive_connection""}",2026-02-24 10:06:52.491902,2026-02-24 10:06:52.491907
9,4,fruit_veg_portions,Increase fruit & vegetable portions from 3 portions/day to 4 portions/day.,fruit & vegetable portions,portions/day,3,4,,3,60,1,active,"{""concept_key"": ""fruit_veg""}",2026-02-24 10:06:56.842428,2026-02-24 10:06:56.842433
10,4,daily_hydration_litres,Increase daily hydration from 2.5 L/day to 3 L/day.,daily hydration,L/day,2.5,3,,2.5,62.5,1,active,"{""concept_key"": ""hydration""}",2026-02-24 10:06:56.853659,2026-02-24 10:06:56.853665
11,4,processed_food_portions,Reduce processed food intake from 2 portions/day to 1 portions/day.,processed food intake,portions/day,2,1,,2,50,1,active,"{""concept_key"": ""processed_food""}",2026-02-24 10:06:56.863169,2026-02-24 10:06:56.863175
12,4,protein_intake_step,Increase protein intake from 3 portions/day to 4 portions/day.,protein intake,portions/day,3,4,,3,60,1,active,"{""concept_key"": ""protein_intake""}",2026-02-24 10:06:56.873649,2026-02-24 10:06:56.873654
13,5,increase_fruit_veg,Increase fruit & vegetable portions from 3 portions/day to 4 portions/day.,portions/day,portions/day,3,4,,3,60,1,active,"{""concept_key"": ""fruit_veg""}",2026-02-24 10:07:04.037602,2026-02-24 10:07:04.037606
14,5,increase_hydration,Increase daily hydration from 2.5 L/day to 3 L/day.,litres/day,L/day,2.5,3,,2.5,62.5,1,active,"{""concept_key"": ""hydration""}",2026-02-24 10:07:04.050581,2026-02-24 10:07:04.050584
15,5,reduce_processed_food,Reduce processed food intake from 2 portions/day to 1 portions/day.,portions/day,portions/day,2,1,,2,50,1,active,"{""concept_key"": ""processed_food""}",2026-02-24 10:07:04.061279,2026-02-24 10:07:04.061284
16,5,increase_protein,Increase protein intake from 3 portions/day to 4 portions/day.,portions/day,portions/day,3,4,,3,60,1,active,"{""concept_key"": ""protein_intake""}",2026-02-24 10:07:04.072403,2026-02-24 10:07:04.072407
17,6,consistent_bedtimes,Increase consistent bedtimes from 4 nights/week to 5 nights/week.,nights/week,nights/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""bedtime_consistency""}",2026-02-24 10:07:13.419429,2026-02-24 10:07:13.419435
18,6,nights_7_plus_sleep,Increase nights with 7+ hours sleep from 4 nights/week to 5 nights/week.,nights/week,nights/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""sleep_duration""}",2026-02-24 10:07:13.431389,2026-02-24 10:07:13.431394
19,6,nights_waking_refreshed,Increase nights waking refreshed from 4 nights/week to 5 nights/week.,nights/week,nights/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""sleep_quality""}",2026-02-24 10:07:13.442482,2026-02-24 10:07:13.442489
20,7,increase_strength_sessions,Increase strength sessions from 2 sessions/week to 3 sessions/week.,strength sessions,sessions/week,2,3,,2,50,1,active,"{""concept_key"": ""strength_training""}",2026-02-24 10:07:16.190853,2026-02-24 10:07:16.190859
21,7,increase_flexibility_sessions,Increase mobility/flexibility work from 3 sessions/week to 4 sessions/week.,mobility/flexibility work,sessions/week,3,4,,3,75,1,active,"{""concept_key"": ""flexibility_mobility""}",2026-02-24 10:07:16.201171,2026-02-24 10:07:16.201176
22,8,emotional_regulation_practice,Increase emotional regulation practice from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""emotional_regulation""}",2026-02-24 10:07:19.711699,2026-02-24 10:07:19.711704
23,8,stress_recovery_techniques,Increase stress-recovery techniques from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""stress_recovery""}",2026-02-24 10:07:19.721161,2026-02-24 10:07:19.721165
24,8,support_openness_actions,Increase support/openness actions from 4 days/week to 5 days/week.,days/week,days/week,4,5,,4,57.14285714285714,1,active,"{""concept_key"": ""support_openness""}",2026-02-24 10:07:19.73077,2026-02-24 10:07:19.730775
25,9,increase_fruit_veg,Increase fruit & vegetable portions from 3 portions/day to 4 portions/day.,fruit & vegetable portions,portions/day,3,4,,3,60,1,active,"{""concept_key"": ""fruit_veg""}",2026-02-24 10:07:37.724633,2026-02-24 10:07:37.724638
26,9,increase_hydration,Increase daily hydration from 2.5 L/day to 3 L/day.,daily hydration,L/day,2.5,3,,2.5,62.5,1,active,"{""concept_key"": ""hydration""}",2026-02-24 10:07:37.74839,2026-02-24 10:07:37.748395
